site_id,site_latitude,site_longitude,year_month,year,month,target_area_precip_mm,control_area_precip_mm,target_area_seeded,bogus_control,state,project_name
site_000,33.7,242.08,2003-01,2003,1,1.303,9.719,False,False,california,
site_000,33.7,242.08,2003-02,2003,2,99.158,44.919,False,False,california,
site_000,33.7,242.08,2003-03,2003,3,86.927,37.985,False,False,california,
site_000,33.7,242.08,2003-04,2003,4,41.188,63.844,False,False,california,
site_000,33.7,242.08,2003-05,2003,5,17.985,32.746,False,False,california,
site_000,33.7,242.08,2003-06,2003,6,0.0,0.0,False,False,california,
site_000,33.7,242.08,2003-07,2003,7,3.584,0.0,False,False,california,
site_000,33.7,242.08,2003-08,2003,8,0.0,6.974,False,False,california,
site_000,33.7,242.08,2003-09,2003,9,0.0,0.0,False,False,california,
site_000,33.7,242.08,2003-10,2003,10,0.003,0.536,False,False,california,
site_000,33.7,242.08,2003-11,2003,11,14.36,13.57,False,False,california,
site_000,33.7,242.08,2003-12,2003,12,22.096,80.072,False,False,california,
site_000,33.7,242.08,2004-01,2004,1,11.964,34.769,False,False,california,
site_000,33.7,242.08,2004-02,2004,2,95.956,75.484,False,False,california,
site_000,33.7,242.08,2004-03,2004,3,13.905,31.625,False,False,california,
site_000,33.7,242.08,2004-04,2004,4,13.234,2.481,False,False,california,
site_000,33.7,242.08,2004-05,2004,5,0.0,3.88,False,False,california,
site_000,33.7,242.08,2004-06,2004,6,0.0,0.0,False,False,california,
site_000,33.7,242.08,2004-07,2004,7,0.0,0.0,False,False,california,
site_000,33.7,242.08,2004-08,2004,8,0.0,0.0,False,False,california,
site_000,33.7,242.08,2004-09,2004,9,0.0,0.436,False,False,california,
site_000,33.7,242.08,2004-10,2004,10,102.149,75.79,False,False,california,
site_000,33.7,242.08,2004-11,2004,11,16.019,20.816,False,False,california,
site_000,33.7,242.08,2004-12,2004,12,60.186,89.963,False,False,california,
site_000,33.7,242.08,2005-01,2005,1,172.14,86.149,False,False,california,
site_000,33.7,242.08,2005-02,2005,2,183.309,70.868,False,False,california,
site_000,33.7,242.08,2005-03,2005,3,20.089,95.26,False,False,california,
site_000,33.7,242.08,2005-04,2005,4,28.85,23.33,False,False,california,
site_000,33.7,242.08,2005-05,2005,5,5.668,86.388,False,False,california,
site_000,33.7,242.08,2005-06,2005,6,0.0,0.0,False,False,california,
site_000,33.7,242.08,2005-07,2005,7,0.0,0.0,False,False,california,
site_000,33.7,242.08,2005-08,2005,8,0.0,0.333,False,False,california,
site_000,33.7,242.08,2005-09,2005,9,6.725,7.182,False,False,california,
site_000,33.7,242.08,2005-10,2005,10,14.713,4.201,False,False,california,
site_000,33.7,242.08,2005-11,2005,11,3.907,2.147,False,False,california,
site_000,33.7,242.08,2005-12,2005,12,2.914,91.758,False,False,california,
site_000,33.7,242.08,2006-01,2006,1,33.839,96.931,False,False,california,
site_000,33.7,242.08,2006-02,2006,2,36.926,23.35,False,False,california,
site_000,33.7,242.08,2006-03,2006,3,63.014,137.763,False,False,california,
site_000,33.7,242.08,2006-04,2006,4,51.93,163.984,False,False,california,
site_000,33.7,242.08,2006-05,2006,5,15.166,21.93,False,False,california,
site_000,33.7,242.08,2006-06,2006,6,0.687,0.0,False,False,california,
site_000,33.7,242.08,2006-07,2006,7,0.0,0.0,False,False,california,
site_000,33.7,242.08,2006-08,2006,8,0.0,0.0,False,False,california,
site_000,33.7,242.08,2006-09,2006,9,0.0,0.0,False,False,california,
site_000,33.7,242.08,2006-10,2006,10,0.325,6.655,False,False,california,
site_000,33.7,242.08,2006-11,2006,11,2.34,2.441,False,False,california,
site_000,33.7,242.08,2006-12,2006,12,18.598,50.609,False,False,california,
site_000,33.7,242.08,2007-01,2007,1,3.207,15.351,False,False,california,
site_000,33.7,242.08,2007-02,2007,2,20.184,79.562,False,False,california,
site_000,33.7,242.08,2007-03,2007,3,1.292,37.416,False,False,california,
site_000,33.7,242.08,2007-04,2007,4,14.639,17.69,False,False,california,
site_000,33.7,242.08,2007-05,2007,5,0.0,1.248,False,False,california,
site_000,33.7,242.08,2007-06,2007,6,0.0,0.0,False,False,california,
site_000,33.7,242.08,2007-07,2007,7,0.0,0.0,False,False,california,
site_000,33.7,242.08,2007-08,2007,8,0.0,0.536,False,False,california,
site_000,33.7,242.08,2007-09,2007,9,10.775,5.345,False,False,california,
site_000,33.7,242.08,2007-10,2007,10,7.953,8.749,False,False,california,
site_000,33.7,242.08,2007-11,2007,11,0.0,2.039,False,False,california,
site_000,33.7,242.08,2007-12,2007,12,38.673,59.635,False,False,california,
site_000,33.7,242.08,2008-01,2008,1,104.766,105.826,False,False,california,
site_000,33.7,242.08,2008-02,2008,2,45.794,75.029,False,False,california,
site_000,33.7,242.08,2008-03,2008,3,0.669,3.413,False,False,california,
site_000,33.7,242.08,2008-04,2008,4,0.658,0.042,False,False,california,
site_000,33.7,242.08,2008-05,2008,5,5.693,26.282,False,False,california,
site_000,33.7,242.08,2008-06,2008,6,0.0,0.0,False,False,california,
site_000,33.7,242.08,2008-07,2008,7,0.0,0.0,False,False,california,
site_000,33.7,242.08,2008-08,2008,8,0.0,0.0,False,False,california,
site_000,33.7,242.08,2008-09,2008,9,0.0,0.0,False,False,california,
site_000,33.7,242.08,2008-10,2008,10,0.0,2.672,False,False,california,
site_000,33.7,242.08,2008-11,2008,11,39.673,35.159,False,False,california,
site_000,33.7,242.08,2008-12,2008,12,64.898,45.421,False,False,california,
site_000,33.7,242.08,2009-01,2009,1,10.246,21.453,False,False,california,
site_000,33.7,242.08,2009-02,2009,2,67.494,82.685,False,False,california,
site_000,33.7,242.08,2009-03,2009,3,2.879,14.156,False,False,california,
site_000,33.7,242.08,2009-04,2009,4,1.801,19.082,False,False,california,
site_000,33.7,242.08,2009-05,2009,5,0.0,8.585,False,False,california,
site_000,33.7,242.08,2009-06,2009,6,1.421,16.703,False,False,california,
site_000,33.7,242.08,2009-07,2009,7,0.0,0.0,False,False,california,
site_000,33.7,242.08,2009-08,2009,8,0.0,0.428,False,False,california,
site_000,33.7,242.08,2009-09,2009,9,0.0,0.0,False,False,california,
site_000,33.7,242.08,2009-10,2009,10,14.833,61.346,False,False,california,
site_000,33.7,242.08,2009-11,2009,11,0.0,4.219,False,False,california,
site_000,33.7,242.08,2009-12,2009,12,64.576,99.633,False,False,california,
site_000,33.7,242.08,2010-01,2010,1,135.846,116.926,False,False,california,
site_000,33.7,242.08,2010-02,2010,2,93.816,90.374,False,False,california,
site_000,33.7,242.08,2010-03,2010,3,6.722,36.862,False,False,california,
site_000,33.7,242.08,2010-04,2010,4,29.062,88.276,False,False,california,
site_000,33.7,242.08,2010-05,2010,5,0.822,5.09,False,False,california,
site_000,33.7,242.08,2010-06,2010,6,0.0,0.0,False,False,california,
site_000,33.7,242.08,2010-07,2010,7,0.173,0.0,False,False,california,
site_000,33.7,242.08,2010-08,2010,8,0.0,0.0,False,False,california,
site_000,33.7,242.08,2010-09,2010,9,0.0,0.0,False,False,california,
site_000,33.7,242.08,2010-10,2010,10,60.293,40.333,False,False,california,
site_000,33.7,242.08,2010-11,2010,11,25.061,78.852,False,False,california,
site_000,33.7,242.08,2010-12,2010,12,194.322,242.963,False,False,california,
site_000,33.7,242.08,2011-01,2011,1,18.103,58.322,False,False,california,
site_000,33.7,242.08,2011-02,2011,2,37.771,52.939,False,False,california,
site_000,33.7,242.08,2011-03,2011,3,53.366,135.661,False,False,california,
site_000,33.7,242.08,2011-04,2011,4,1.766,9.464,False,False,california,
site_000,33.7,242.08,2011-05,2011,5,11.376,22.464,False,False,california,
site_000,33.7,242.08,2011-06,2011,6,0.209,49.313,False,False,california,
site_000,33.7,242.08,2011-07,2011,7,0.0,0.0,False,False,california,
site_000,33.7,242.08,2011-08,2011,8,0.0,0.706,False,False,california,
site_000,33.7,242.08,2011-09,2011,9,2.501,0.0,False,False,california,
site_000,33.7,242.08,2011-10,2011,10,17.254,37.75,False,False,california,
site_000,33.7,242.08,2011-11,2011,11,37.942,25.486,False,False,california,
site_000,33.7,242.08,2011-12,2011,12,13.555,0.358,False,False,california,
site_000,33.7,242.08,2012-01,2012,1,27.223,60.67,False,False,california,
site_000,33.7,242.08,2012-02,2012,2,14.904,25.424,False,False,california,
site_000,33.7,242.08,2012-03,2012,3,31.593,87.307,False,False,california,
site_000,33.7,242.08,2012-04,2012,4,33.399,81.144,False,False,california,
site_000,33.7,242.08,2012-05,2012,5,1.7958,0.0,False,False,california,
site_000,33.7,242.08,2012-06,2012,6,0.0,0.0,False,False,california,
site_000,33.7,242.08,2012-07,2012,7,5.054,0.0,False,False,california,
site_000,33.7,242.08,2012-08,2012,8,0.0,0.0,False,False,california,
site_000,33.7,242.08,2012-09,2012,9,0.0,0.0,False,False,california,
site_000,33.7,242.08,2012-10,2012,10,7.264,5.911,False,False,california,
site_000,33.7,242.08,2012-11,2012,11,15.156,22.233,False,False,california,
site_000,33.7,242.08,2012-12,2012,12,52.2304,118.951096,False,False,california,
site_000,33.7,242.08,2013-01,2013,1,26.709,17.28,False,False,california,
site_000,33.7,242.08,2013-02,2013,2,7.841,27.014,False,False,california,
site_000,33.7,242.08,2013-03,2013,3,12.801,8.018,False,False,california,
site_000,33.7,242.08,2013-04,2013,4,0.87,8.355,False,False,california,
site_000,33.7,242.08,2013-05,2013,5,10.278,4.345,False,False,california,
site_000,33.7,242.08,2013-06,2013,6,0.0,0.0,False,False,california,
site_000,33.7,242.08,2013-07,2013,7,1.023,0.834,False,False,california,
site_000,33.7,242.08,2013-08,2013,8,0.0,0.826,False,False,california,
site_000,33.7,242.08,2013-09,2013,9,0.0,0.52,False,False,california,
site_000,33.7,242.08,2013-10,2013,10,6.202,2.737,False,False,california,
site_000,33.7,242.08,2013-11,2013,11,10.079,12.621,False,False,california,
site_000,33.7,242.08,2013-12,2013,12,12.855,8.551,False,False,california,
site_000,33.7,242.08,2014-01,2014,1,0.0,15.349,False,False,california,
site_000,33.7,242.08,2014-02,2014,2,18.951,51.253,False,False,california,
site_000,33.7,242.08,2014-03,2014,3,35.328,34.238,False,False,california,
site_000,33.7,242.08,2014-04,2014,4,6.404,36.075,False,False,california,
site_000,33.7,242.08,2014-05,2014,5,0.0,4.81,False,False,california,
site_000,33.7,242.08,2014-06,2014,6,0.0,0.0,False,False,california,
site_000,33.7,242.08,2014-07,2014,7,0.0,1.38,False,False,california,
site_000,33.7,242.08,2014-08,2014,8,0.343,0.0,False,False,california,
site_000,33.7,242.08,2014-09,2014,9,0.0,10.861,False,False,california,
site_000,33.7,242.08,2014-10,2014,10,0.0,0.0,False,False,california,
site_000,33.7,242.08,2014-11,2014,11,12.172,41.013,False,False,california,
site_000,33.7,242.08,2014-12,2014,12,93.563,80.801,False,False,california,
site_000,33.7,242.08,2015-01,2015,1,27.615,4.482,False,False,california,
site_000,33.7,242.08,2015-02,2015,2,11.92,50.949,False,False,california,
site_000,33.7,242.08,2015-03,2015,3,13.527,7.52,False,False,california,
site_000,33.7,242.08,2015-04,2015,4,4.012,33.831,False,False,california,
site_000,33.7,242.08,2015-05,2015,5,27.18,12.574,False,False,california,
site_000,33.7,242.08,2015-06,2015,6,0.0,0.0,False,False,california,
site_000,33.7,242.08,2015-07,2015,7,23.215,7.159,False,False,california,
site_000,33.7,242.08,2015-08,2015,8,0.0,0.0,False,False,california,
site_000,33.7,242.08,2015-09,2015,9,35.027,3.868,False,False,california,
site_000,33.7,242.08,2015-10,2015,10,8.118,6.739,False,False,california,
site_000,33.7,242.08,2015-11,2015,11,2.013,68.232,False,False,california,
site_000,33.7,242.08,2015-12,2015,12,25.293,95.316,False,False,california,
site_000,33.7,242.08,2016-01,2016,1,45.836,142.018,False,False,california,
site_000,33.7,242.08,2016-02,2016,2,11.818,27.284,False,False,california,
site_000,33.7,242.08,2016-03,2016,3,38.597,96.455,False,False,california,
site_000,33.7,242.08,2016-04,2016,4,5.625,55.625,False,False,california,
site_000,33.7,242.08,2016-05,2016,5,7.111,10.991,False,False,california,
site_000,33.7,242.08,2016-06,2016,6,0.635,1.782,False,False,california,
site_000,33.7,242.08,2016-07,2016,7,0.0,0.0,False,False,california,
site_000,33.7,242.08,2016-08,2016,8,0.0,0.0,False,False,california,
site_000,33.7,242.08,2016-09,2016,9,0.005,0.0,False,False,california,
site_000,33.7,242.08,2016-10,2016,10,14.496,26.642,False,False,california,
site_000,33.7,242.08,2016-11,2016,11,33.231,37.671,False,False,california,
site_000,33.7,242.08,2016-12,2016,12,95.672,94.909,False,False,california,
site_000,33.7,242.08,2017-01,2017,1,203.178,262.259,False,False,california,
site_000,33.7,242.08,2017-02,2017,2,107.502,142.023,False,False,california,
site_000,33.7,242.08,2017-03,2017,3,2.339,42.035,False,False,california,
site_000,33.7,242.08,2017-04,2017,4,2.26,55.859,False,False,california,
site_000,33.7,242.08,2017-05,2017,5,5.845,1.169,False,False,california,
site_000,33.7,242.08,2017-06,2017,6,0.163,0.185,False,False,california,
site_000,33.7,242.08,2017-07,2017,7,0.0,0.0,False,False,california,
site_000,33.7,242.08,2017-08,2017,8,0.0,0.0,False,False,california,
site_000,33.7,242.08,2017-09,2017,9,4.18,11.421,False,False,california,
site_000,33.7,242.08,2017-10,2017,10,0.0,2.924,False,False,california,
site_000,33.7,242.08,2017-11,2017,11,3.927,15.188,False,False,california,
site_000,33.7,242.08,2017-12,2017,12,1.285,1.916,False,False,california,
site_000,33.7,242.08,2018-01,2018,1,35.173,31.494,False,False,california,
site_000,33.7,242.08,2018-02,2018,2,11.607,6.502,False,False,california,
site_000,33.7,242.08,2018-03,2018,3,33.975,190.694,False,False,california,
site_000,33.7,242.08,2018-04,2018,4,0.68,23.136,False,False,california,
site_000,33.7,242.08,2018-05,2018,5,3.665,0.0,False,False,california,
site_000,33.7,242.08,2018-06,2018,6,0.0,0.0,False,False,california,
site_000,33.7,242.08,2018-07,2018,7,0.0,0.0,False,False,california,
site_000,33.7,242.08,2018-08,2018,8,0.0,0.0,False,False,california,
site_000,33.7,242.08,2018-09,2018,9,0.0,0.297,False,False,california,
site_000,33.7,242.08,2018-10,2018,10,16.62,4.416,False,False,california,
site_000,33.7,242.08,2018-11,2018,11,32.082,64.612,False,False,california,
site_000,33.7,242.08,2018-12,2018,12,43.403,21.393,False,False,california,
site_000,33.7,242.08,2019-01,2019,1,119.099,83.851,False,False,california,
site_000,33.7,242.08,2019-02,2019,2,162.145,118.247,False,False,california,
site_000,33.7,242.08,2019-03,2019,3,40.952,54.179,False,False,california,
site_000,33.7,242.08,2019-04,2019,4,1.907,9.371,False,False,california,
site_000,33.7,242.08,2019-05,2019,5,15.363,66.565,False,False,california,
site_000,33.7,242.08,2019-06,2019,6,2.39,0.0,False,False,california,
site_000,33.7,242.08,2019-07,2019,7,0.484,0.0,False,False,california,
site_000,33.7,242.08,2019-08,2019,8,0.0,0.0,False,False,california,
site_000,33.7,242.08,2019-09,2019,9,0.0,0.0,False,False,california,
site_000,33.7,242.08,2019-10,2019,10,0.0,0.0,False,False,california,
site_000,33.7,242.08,2019-11,2019,11,58.452,24.807,False,False,california,
site_000,33.7,242.08,2019-12,2019,12,111.073,78.735,False,False,california,
site_000,33.7,242.08,2020-01,2020,1,3.473,16.569,False,False,california,
site_000,33.7,242.08,2020-02,2020,2,10.34,0.107,False,False,california,
site_000,33.7,242.08,2020-03,2020,3,75.671,74.085,False,False,california,
site_000,33.7,242.08,2020-04,2020,4,70.446,44.995,False,False,california,
site_000,33.7,242.08,2020-05,2020,5,2.204,10.288,False,False,california,
site_000,33.7,242.08,2020-06,2020,6,0.557,0.065,False,False,california,
site_000,33.7,242.08,2020-07,2020,7,0.0,0.0,False,False,california,
site_000,33.7,242.08,2020-08,2020,8,0.0,0.0,False,False,california,
site_000,33.7,242.08,2020-09,2020,9,0.0,0.0,False,False,california,
site_000,33.7,242.08,2020-10,2020,10,0.466,0.0,False,False,california,
site_000,33.7,242.08,2020-11,2020,11,6.94,14.885,False,False,california,
site_000,33.7,242.08,2020-12,2020,12,33.472,34.992,False,False,california,
site_000,33.7,242.08,2021-01,2021,1,44.467598,79.2909,False,False,california,
site_000,33.7,242.08,2021-02,2021,2,2.0994,11.915899,False,False,california,
site_000,33.7,242.08,2021-03,2021,3,34.2658,41.8359,False,False,california,
site_000,33.7,242.08,2021-04,2021,4,0.3796,4.259,False,False,california,
site_000,33.7,242.08,2021-05,2021,5,2.5384,0.0,False,False,california,
site_000,33.7,242.08,2021-06,2021,6,0.0,0.0,False,False,california,
site_000,33.7,242.08,2021-07,2021,7,1.1115999,0.0,False,False,california,
site_000,33.7,242.08,2021-08,2021,8,0.63659996,0.0,False,False,california,
site_000,33.7,242.08,2021-09,2021,9,0.0995,0.3752,False,False,california,
site_000,33.7,242.08,2021-10,2021,10,13.619499,50.600597,False,False,california,
site_000,33.7,242.08,2021-11,2021,11,0.0,11.8566,False,False,california,
site_000,33.7,242.08,2021-12,2021,12,124.075,135.132,False,False,california,
site_000,33.7,242.08,2022-01,2022,1,0.6809,0.5972,False,False,california,
site_000,33.7,242.08,2022-02,2022,2,3.0614998,0.9328,False,False,california,
site_000,33.7,242.08,2022-03,2022,3,20.9072,25.0329,False,False,california,
site_000,33.7,242.08,2022-04,2022,4,3.1132,15.0187,False,False,california,
site_000,33.7,242.08,2022-05,2022,5,0.0,0.9079,False,False,california,
site_000,33.7,242.08,2022-06,2022,6,0.0,0.0,False,False,california,
site_000,33.7,242.08,2022-07,2022,7,0.0,0.0,False,False,california,
site_000,33.7,242.08,2022-08,2022,8,0.0,0.94769996,False,False,california,
site_000,33.7,242.08,2022-09,2022,9,7.5422997,2.6992,False,False,california,
site_000,33.7,242.08,2022-10,2022,10,8.302,0.0,False,False,california,
site_000,33.7,242.08,2022-11,2022,11,40.0874,37.9502,False,False,california,
site_000,33.7,242.08,2022-12,2022,12,53.1702,121.3965,False,False,california,
site_000,33.7,242.08,2023-01,2023,1,180.93239,198.0614,False,False,california,
site_000,33.7,242.08,2023-02,2023,2,84.5467,113.9645,False,False,california,
site_000,33.7,242.08,2023-03,2023,3,169.81839,212.5811,False,False,california,
site_000,33.7,242.08,2023-04,2023,4,1.0001,0.0,False,False,california,
site_000,33.7,242.08,2023-05,2023,5,19.0815,4.5095,False,False,california,
site_000,33.7,242.08,2023-06,2023,6,0.7186,0.0,False,False,california,
site_000,33.7,242.08,2023-07,2023,7,0.0,0.0,False,False,california,
site_000,33.7,242.08,2023-08,2023,8,61.778797,16.073,False,False,california,
site_000,33.7,242.08,2023-09,2023,9,1.7906,0.0,False,False,california,
site_000,33.7,242.08,2023-10,2023,10,2.1276999,0.0,False,False,california,
site_000,33.7,242.08,2023-11,2023,11,13.012899,4.6591,True,False,california,
site_000,33.7,242.08,2023-12,2023,12,45.545,26.58,True,False,california,
site_000,33.7,242.08,2024-01,2024,1,53.037098,55.200397,True,False,california,
site_000,33.7,242.08,2024-02,2024,2,222.26929,93.2594,True,False,california,
site_000,33.7,242.08,2024-03,2024,3,83.223,74.3556,True,False,california,
site_000,33.7,242.08,2024-04,2024,4,17.9459,42.486,True,False,california,
site_000,33.7,242.08,2024-05,2024,5,2.6969,11.8993,False,False,california,
site_000,33.7,242.08,2024-06,2024,6,0.2232,0.2287,False,False,california,
site_000,33.7,242.08,2024-07,2024,7,0.0,0.0,False,False,california,
site_000,33.7,242.08,2024-08,2024,8,0.0,0.0,False,False,california,
site_000,33.7,242.08,2024-09,2024,9,0.7967,0.0,False,False,california,
site_000,33.7,242.08,2024-10,2024,10,0.0,0.0,False,False,california,
site_000,33.7,242.08,2024-11,2024,11,1.8698,52.4463,False,False,california,
site_000,33.7,242.08,2024-12,2024,12,0.5155,29.293798,False,False,california,
site_000,33.7,242.08,2025-01,2025,1,14.5054,13.2588,False,False,california,
site_000,33.7,242.08,2025-02,2025,2,65.214,61.305298,False,False,california,
site_000,33.7,242.08,2025-03,2025,3,39.898197,106.9089,False,False,california,
site_000,33.7,242.08,2025-04,2025,4,7.3792996,28.273699,False,False,california,
site_000,33.7,242.08,2025-05,2025,5,0.0231,2.8724,False,False,california,
site_000,33.7,242.08,2025-06,2025,6,2.1789,0.0,False,False,california,
site_000,33.7,242.08,2025-07,2025,7,0.0,0.0,False,False,california,
site_000,33.7,242.08,2025-08,2025,8,0.0,2.952,False,False,california,
site_000,33.7,242.08,2025-09,2025,9,2.303,18.793,False,False,california,
site_000,33.7,242.08,2025-10,2025,10,31.437,41.28,False,False,california,
site_000,33.7,242.08,2025-11,2025,11,117.021,83.321,False,False,california,
site_000,33.7,242.08,2025-12,2025,12,58.161,66.277,False,False,california,
site_001,34.24,243.09,2000-01,2000,1,16.561,117.039,False,False,california,
site_001,34.24,243.09,2000-02,2000,2,245.938,168.769,False,False,california,
site_001,34.24,243.09,2000-03,2000,3,54.585,53.657,False,False,california,
site_001,34.24,243.09,2000-04,2000,4,44.618,48.984,False,False,california,
site_001,34.24,243.09,2000-05,2000,5,1.774,9.234,False,False,california,
site_001,34.24,243.09,2000-06,2000,6,1.016,22.04,False,False,california,
site_001,34.24,243.09,2000-07,2000,7,0.0,0.0,False,False,california,
site_001,34.24,243.09,2000-08,2000,8,26.556,0.0,False,False,california,
site_001,34.24,243.09,2000-09,2000,9,1.725,8.917,False,False,california,
site_001,34.24,243.09,2000-10,2000,10,33.295,65.925,False,False,california,
site_001,34.24,243.09,2000-11,2000,11,14.438,0.634,False,False,california,
site_001,34.24,243.09,2000-12,2000,12,1.294,1.403,False,False,california,
site_001,34.24,243.09,2001-01,2001,1,91.424,81.957,False,False,california,
site_001,34.24,243.09,2001-02,2001,2,96.414,71.068,False,False,california,
site_001,34.24,243.09,2001-03,2001,3,33.0,20.867,False,False,california,
site_001,34.24,243.09,2001-04,2001,4,39.414,66.074,False,False,california,
site_001,34.24,243.09,2001-05,2001,5,2.791,0.0,False,False,california,
site_001,34.24,243.09,2001-06,2001,6,0.0,0.0,False,False,california,
site_001,34.24,243.09,2001-07,2001,7,7.861,4.697,False,False,california,
site_001,34.24,243.09,2001-08,2001,8,0.953,0.0,False,False,california,
site_001,34.24,243.09,2001-09,2001,9,0.234,0.0,False,False,california,
site_001,34.24,243.09,2001-10,2001,10,0.427,7.672,False,False,california,
site_001,34.24,243.09,2001-11,2001,11,49.265,48.734,False,False,california,
site_001,34.24,243.09,2001-12,2001,12,16.793,100.162,False,False,california,
site_001,34.24,243.09,2002-01,2002,1,10.84,27.09,False,False,california,
site_001,34.24,243.09,2002-02,2002,2,7.592,20.242,False,False,california,
site_001,34.24,243.09,2002-03,2002,3,30.778,44.625,False,False,california,
site_001,34.24,243.09,2002-04,2002,4,9.28,19.391,False,False,california,
site_001,34.24,243.09,2002-05,2002,5,0.0,20.544,False,False,california,
site_001,34.24,243.09,2002-06,2002,6,0.0,0.022,False,False,california,
site_001,34.24,243.09,2002-07,2002,7,7.721,0.0,False,False,california,
site_001,34.24,243.09,2002-08,2002,8,0.0,0.0,False,False,california,
site_001,34.24,243.09,2002-09,2002,9,7.49,0.0,False,False,california,
site_001,34.24,243.09,2002-10,2002,10,2.85,0.0,False,False,california,
site_001,34.24,243.09,2002-11,2002,11,92.484,53.795,False,False,california,
site_001,34.24,243.09,2002-12,2002,12,113.632,87.513,False,False,california,
site_001,34.24,243.09,2003-01,2003,1,4.248,9.719,False,False,california,
site_001,34.24,243.09,2003-02,2003,2,153.804,44.919,False,False,california,
site_001,34.24,243.09,2003-03,2003,3,97.04,37.985,False,False,california,
site_001,34.24,243.09,2003-04,2003,4,50.413,63.844,False,False,california,
site_001,34.24,243.09,2003-05,2003,5,18.668,32.746,False,False,california,
site_001,34.24,243.09,2003-06,2003,6,0.912,0.0,False,False,california,
site_001,34.24,243.09,2003-07,2003,7,6.109,0.0,False,False,california,
site_001,34.24,243.09,2003-08,2003,8,46.31,6.974,False,False,california,
site_001,34.24,243.09,2003-09,2003,9,11.202,0.0,False,False,california,
site_001,34.24,243.09,2003-10,2003,10,0.0,0.536,False,False,california,
site_001,34.24,243.09,2003-11,2003,11,39.187,13.57,False,False,california,
site_001,34.24,243.09,2003-12,2003,12,106.23,80.072,False,False,california,
site_001,34.24,243.09,2004-01,2004,1,9.615,34.769,False,False,california,
site_001,34.24,243.09,2004-02,2004,2,97.407,75.484,False,False,california,
site_001,34.24,243.09,2004-03,2004,3,28.75,31.625,False,False,california,
site_001,34.24,243.09,2004-04,2004,4,17.334,2.481,False,False,california,
site_001,34.24,243.09,2004-05,2004,5,0.559,3.88,False,False,california,
site_001,34.24,243.09,2004-06,2004,6,0.5,0.0,False,False,california,
site_001,34.24,243.09,2004-07,2004,7,0.625,0.0,False,False,california,
site_001,34.24,243.09,2004-08,2004,8,19.375,0.0,False,False,california,
site_001,34.24,243.09,2004-09,2004,9,1.853,0.436,False,False,california,
site_001,34.24,243.09,2004-10,2004,10,211.536,75.79,False,False,california,
site_001,34.24,243.09,2004-11,2004,11,50.229,20.816,False,False,california,
site_001,34.24,243.09,2004-12,2004,12,78.139,89.963,True,False,california,
