site_id,year,treatment_start_year,did_eligible,target_area,control_area,precip_target_area,precip_control_area
"alta and snowbird, utah",2003,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,546.2076562551681,604.671554892989
"alta and snowbird, utah",2004,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,540.9573346942651,539.1266495302361
"alta and snowbird, utah",2005,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,604.8069546127234,548.4231002733742
"alta and snowbird, utah",2006,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,560.6625693815516,610.7888325551183
"alta and snowbird, utah",2007,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,537.0572267761025,542.6984673787535
"alta and snowbird, utah",2008,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,586.5636228025797,552.2471179265865
"alta and snowbird, utah",2009,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,537.9789087507245,564.8243644142287
"alta and snowbird, utah",2010,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,612.6461842668841,592.0183620532388
"alta and snowbird, utah",2011,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,565.3452137208171,578.6950626838328
"alta and snowbird, utah",2012,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,562.4358942230851,543.6843663211935
"alta and snowbird, utah",2013,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,611.9679415812508,565.1957859218203
"alta and snowbird, utah",2014,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,626.7022672384377,565.8161391696947
"alta and snowbird, utah",2015,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,623.4081511512411,581.5694738694239
"alta and snowbird, utah",2016,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,605.6048168980318,596.6460914657457
"alta and snowbird, utah",2017,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,615.179935058836,598.9551438971993
"alta and snowbird, utah",2018,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,595.361627492759,546.5997061487899
"alta and snowbird, utah",2019,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,603.0478427839411,620.0985246890214
"alta and snowbird, utah",2020,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,626.814501725382,602.3142211499156
"alta and snowbird, utah",2021,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,669.7229678234772,633.1133011898477
"alta and snowbird, utah",2022,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,627.7732187376502,612.1049581822668
"alta and snowbird, utah",2023,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,581.4155917554774,631.033073943394
"alta and snowbird, utah",2024,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,657.6134917793327,617.6636327862532
"alta and snowbird, utah",2025,2010,True,alta and snowbird ski resorts,climatologically similar nearby area,642.6227735840337,642.1556439050687
alta snowbird,2000,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,490.07694999235105,520.0562659004445
alta snowbird,2001,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,524.7919072210217,507.0521188389274
alta snowbird,2002,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,537.7749880623987,568.810868011172
alta snowbird,2003,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,537.782002977905,536.7259280569973
alta snowbird,2004,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,496.019561919434,531.3436105251103
alta snowbird,2005,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,511.76969060371965,487.5923895865416
alta snowbird,2006,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,548.2128040466919,489.79230956341155
alta snowbird,2007,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,564.338583189373,531.8178870535463
alta snowbird,2008,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,534.8536447515604,530.638029944206
alta snowbird,2009,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,569.738909084872,514.1469358747921
alta snowbird,2010,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,524.7416141481699,535.5245674903015
alta snowbird,2011,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,534.6712625996439,574.2156732010899
alta snowbird,2012,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,597.7656773527704,554.3850618637574
alta snowbird,2013,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,589.0180490349168,510.97478725618157
alta snowbird,2014,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,573.3344164282455,539.2122793214264
alta snowbird,2015,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,592.8990859133893,524.3758379786859
alta snowbird,2016,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,596.9109481193827,537.307502089786
alta snowbird,2017,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,556.8758406127943,539.159608359259
alta snowbird,2018,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,596.6375617461676,540.0588604348999
alta snowbird,2019,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,628.1775031350712,523.1216157006651
alta snowbird,2020,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,577.7491554880404,553.8086329620453
alta snowbird,2021,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,614.6600673914006,545.4848090788173
alta snowbird,2022,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,523.7838596113183,488.7637827499433
alta snowbird,2023,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,608.7233571683568,615.8243006125416
alta snowbird,2024,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,608.4455091943655,594.2192413554168
alta snowbird,2025,2006,True,alta and snowbird ski resorts,climatologically similar nearby area,601.0357418920137,560.0924818768751
alta/snowbird,2000,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,529.2940194133876,527.470476243515
alta/snowbird,2001,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,479.8107771349777,500.20864131706094
alta/snowbird,2002,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,526.5082028040622,574.3930719452717
alta/snowbird,2003,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,543.4278142877937,581.9322173693278
alta/snowbird,2004,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,602.6580696843166,540.9173432061631
alta/snowbird,2005,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,559.7386113028554,565.0882661046336
alta/snowbird,2006,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,554.9154454072781,546.3821694733481
alta/snowbird,2007,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,571.7708183632153,511.08186402810173
alta/snowbird,2008,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,597.6351253662477,536.7044157759086
alta/snowbird,2009,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,580.9821781352074,552.798199169299
alta/snowbird,2010,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,561.7070424500405,540.6363070314139
alta/snowbird,2011,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,598.4174542063,549.0336680641241
alta/snowbird,2012,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,587.9013848156674,554.7150110622721
alta/snowbird,2013,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,611.9197478928703,557.4780375533635
alta/snowbird,2014,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,562.1827928257574,563.3064622624371
alta/snowbird,2015,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,592.8665585557617,537.984873340085
alta/snowbird,2016,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,578.6093968111534,549.0745962718016
alta/snowbird,2017,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,553.8207352029586,537.3853933575008
alta/snowbird,2018,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,606.7857565349361,596.445388742155
alta/snowbird,2019,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,602.8597320530313,521.8588264539919
alta/snowbird,2020,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,609.643584435302,605.8397585829232
alta/snowbird,2021,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,599.7792218456555,614.1587349315711
alta/snowbird,2022,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,575.0830831265233,574.4454853254344
alta/snowbird,2023,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,605.0989465789869,519.4215728043175
alta/snowbird,2024,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,599.5382027612849,577.9672359508178
alta/snowbird,2025,2004,True,alta and snowbird ski resorts,climatologically similar nearby area,589.1156169554255,587.8953959677796
alta/snowbird cloud seeding program,2000,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,641.4678572083498,620.2350445017771
alta/snowbird cloud seeding program,2001,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,658.1012714203634,635.119540154794
alta/snowbird cloud seeding program,2002,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,697.6546475302632,688.7548799715838
alta/snowbird cloud seeding program,2003,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,657.364445320796,669.6231790575436
alta/snowbird cloud seeding program,2004,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,661.9387597680691,632.3858971405475
alta/snowbird cloud seeding program,2005,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,656.1388521058458,618.0600207601142
alta/snowbird cloud seeding program,2006,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,612.5307196175239,652.3245670597557
alta/snowbird cloud seeding program,2007,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,703.7498101999777,657.663580516239
alta/snowbird cloud seeding program,2008,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,695.0174663334683,677.904979684083
alta/snowbird cloud seeding program,2009,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,756.9438611011084,654.6170821858085
alta/snowbird cloud seeding program,2010,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,681.7593403886572,683.2874893840466
alta/snowbird cloud seeding program,2011,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,710.477972635962,721.3788510015057
alta/snowbird cloud seeding program,2012,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,706.2572974056989,695.8875255611066
alta/snowbird cloud seeding program,2013,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,680.5482751881516,676.7977873167307
alta/snowbird cloud seeding program,2014,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,745.2815054425621,675.9212382236676
alta/snowbird cloud seeding program,2015,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,722.1227808668997,674.0831716455032
alta/snowbird cloud seeding program,2016,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,727.8424927029947,715.0160228113036
alta/snowbird cloud seeding program,2017,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,704.5872275870439,672.3171638512174
alta/snowbird cloud seeding program,2018,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,768.9849762787044,691.6305677249995
alta/snowbird cloud seeding program,2019,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,677.0317058512127,694.2799475470272
alta/snowbird cloud seeding program,2020,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,740.1009139801633,682.9553951797117
alta/snowbird cloud seeding program,2021,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,774.186678227437,663.6883613028974
alta/snowbird cloud seeding program,2022,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,692.5387869223823,708.5743625904418
alta/snowbird cloud seeding program,2023,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,713.6076569037148,701.4749007036154
alta/snowbird cloud seeding program,2024,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,727.3019128827175,718.0060117359143
alta/snowbird cloud seeding program,2025,2007,True,alta and snowbird ski resorts,climatologically similar nearby area,731.7111008501224,694.6599923390208
"alta/snowbird, utah",2000,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,588.2334142233467,657.5205324703262
"alta/snowbird, utah",2001,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,631.2140743701507,607.5806554697039
"alta/snowbird, utah",2002,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,605.4424071568474,674.8010071004474
"alta/snowbird, utah",2003,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,646.3398107658795,590.8090872542934
"alta/snowbird, utah",2004,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,614.014394144155,647.8692516139223
"alta/snowbird, utah",2005,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,678.2483601254385,651.3857670631655
"alta/snowbird, utah",2006,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,622.4186676915941,622.111073301478
"alta/snowbird, utah",2007,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,636.4484620948581,655.1098484465253
"alta/snowbird, utah",2008,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,698.3496928443851,678.987966744004
"alta/snowbird, utah",2009,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,638.0434262188605,594.0795290161484
"alta/snowbird, utah",2010,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,672.9637460172687,664.5686201872703
"alta/snowbird, utah",2011,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,726.4232803277871,592.1682294917481
"alta/snowbird, utah",2012,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,637.0987513208968,632.8583799119198
"alta/snowbird, utah",2013,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,697.3023457299306,700.2291591225236
"alta/snowbird, utah",2014,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,693.604727248513,647.4554491651986
"alta/snowbird, utah",2015,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,716.6101499438838,635.1530008897757
"alta/snowbird, utah",2016,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,660.5458410375177,662.051556775383
"alta/snowbird, utah",2017,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,654.0967714936608,721.1976584540888
"alta/snowbird, utah",2018,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,706.7370393971551,626.2079438198493
"alta/snowbird, utah",2019,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,702.5663738252019,648.2172522090164
"alta/snowbird, utah",2020,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,711.1029018318362,714.4357920794906
"alta/snowbird, utah",2021,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,722.9097187402091,725.9425585884433
"alta/snowbird, utah",2022,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,687.9135642089284,679.4142193927429
"alta/snowbird, utah",2023,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,705.6684404880436,653.523682436834
"alta/snowbird, utah",2024,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,724.8949327604097,739.396087545229
"alta/snowbird, utah",2025,2008,True,alta and snowbird ski resorts,climatologically similar nearby area,704.81399923011,729.36105979373
augment winter rainfall,2000,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2001,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2002,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2003,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2004,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2005,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2006,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2007,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2008,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2009,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2010,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2011,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2012,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2013,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2014,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2015,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2016,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2017,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2018,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2019,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2020,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2021,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2022,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2023,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2024,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
augment winter rainfall,2025,2002,False,santa barbara and southern san luis obispo counties,climatologically similar nearby area,,
bear river basin cloud seeding program,2000,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,468.6443627786189,438.97367469405583
bear river basin cloud seeding program,2001,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,436.34582302279466,404.1899412765645
bear river basin cloud seeding program,2002,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,397.2174125699338,425.77426647904906
bear river basin cloud seeding program,2003,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,445.91384021584577,425.49099797387925
bear river basin cloud seeding program,2004,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,407.63295824431697,440.27128261538945
bear river basin cloud seeding program,2005,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,454.1771150935613,470.7750359532834
bear river basin cloud seeding program,2006,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,465.9648894751851,458.9854260284351
bear river basin cloud seeding program,2007,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,418.98294204120725,412.56559807538105
bear river basin cloud seeding program,2008,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,466.08440323110807,476.41241125048845
bear river basin cloud seeding program,2009,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,454.81952317341245,452.3283035003289
bear river basin cloud seeding program,2010,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,467.55150399986223,464.1766448964729
bear river basin cloud seeding program,2011,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,496.91982456634867,486.16352148196506
bear river basin cloud seeding program,2012,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,445.8652970999282,424.2104937621612
bear river basin cloud seeding program,2013,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,435.65659589106275,453.60436053233843
bear river basin cloud seeding program,2014,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,434.7621392593619,443.7136362160196
bear river basin cloud seeding program,2015,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,439.104742875864,420.30351436586363
bear river basin cloud seeding program,2016,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,460.07245726464737,470.667749440123
bear river basin cloud seeding program,2017,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,473.0287993704161,527.2889137896105
bear river basin cloud seeding program,2018,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,473.9172699832505,420.9980563873562
bear river basin cloud seeding program,2019,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,490.1795812259006,468.69298472376323
bear river basin cloud seeding program,2020,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,472.3250472969477,488.0135733768693
bear river basin cloud seeding program,2021,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,510.8383519289329,477.5769550414045
bear river basin cloud seeding program,2022,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,514.2696939891053,474.1717986871065
bear river basin cloud seeding program,2023,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,580.1883532575379,447.0195909138544
bear river basin cloud seeding program,2024,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,526.7768604754694,487.8196685735041
bear river basin cloud seeding program,2025,2022,True,"bear river watershed in idaho, utah and wyoming",climatologically similar nearby area,495.27310986652407,465.58090057460186
belding farms,2000,2003,True,"fort stockton area, texas",climatologically similar nearby area,459.7276875484722,431.75195737553616
belding farms,2001,2003,True,"fort stockton area, texas",climatologically similar nearby area,501.0618103810796,518.8648055128433
belding farms,2002,2003,True,"fort stockton area, texas",climatologically similar nearby area,485.91343036685373,515.459645496051
belding farms,2003,2003,True,"fort stockton area, texas",climatologically similar nearby area,554.6870312481631,495.291524421277
belding farms,2004,2003,True,"fort stockton area, texas",climatologically similar nearby area,548.182284982388,502.2268672051426
belding farms,2005,2003,True,"fort stockton area, texas",climatologically similar nearby area,521.8686391844924,525.857950317889
belding farms,2006,2003,True,"fort stockton area, texas",climatologically similar nearby area,502.447787958004,507.1084914194521
belding farms,2007,2003,True,"fort stockton area, texas",climatologically similar nearby area,489.0078277538356,526.6004388690328
belding farms,2008,2003,True,"fort stockton area, texas",climatologically similar nearby area,525.4697573897809,499.0629449781537
belding farms,2009,2003,True,"fort stockton area, texas",climatologically similar nearby area,567.7314533949442,541.7995934643486
belding farms,2010,2003,True,"fort stockton area, texas",climatologically similar nearby area,546.948919818744,519.5196431483171
belding farms,2011,2003,True,"fort stockton area, texas",climatologically similar nearby area,499.8904224070437,518.8512985901468
belding farms,2012,2003,True,"fort stockton area, texas",climatologically similar nearby area,557.536944159479,484.7484727821992
belding farms,2013,2003,True,"fort stockton area, texas",climatologically similar nearby area,567.8120383533495,526.1738963575427
belding farms,2014,2003,True,"fort stockton area, texas",climatologically similar nearby area,523.0885000485632,500.7011270626387
belding farms,2015,2003,True,"fort stockton area, texas",climatologically similar nearby area,562.7668998271387,508.04293183678766
belding farms,2016,2003,True,"fort stockton area, texas",climatologically similar nearby area,555.7529749927818,506.11560929209696
belding farms,2017,2003,True,"fort stockton area, texas",climatologically similar nearby area,542.0993232260578,502.34412670251936
belding farms,2018,2003,True,"fort stockton area, texas",climatologically similar nearby area,580.8014507535293,584.619285075424
belding farms,2019,2003,True,"fort stockton area, texas",climatologically similar nearby area,578.7825731084952,567.28347654971
belding farms,2020,2003,True,"fort stockton area, texas",climatologically similar nearby area,599.3214474537898,584.5091875536066
belding farms,2021,2003,True,"fort stockton area, texas",climatologically similar nearby area,606.8455423315357,508.4276245111109
belding farms,2022,2003,True,"fort stockton area, texas",climatologically similar nearby area,536.929776103421,543.2813437477723
belding farms,2023,2003,True,"fort stockton area, texas",climatologically similar nearby area,544.9518962167865,511.6623093698976
belding farms,2024,2003,True,"fort stockton area, texas",climatologically similar nearby area,596.985865817504,529.1076280700734
belding farms,2025,2003,True,"fort stockton area, texas",climatologically similar nearby area,583.446636416346,526.0468254145857
belding farms hail suppression,2000,2001,False,"area around 705 south fm road 2037, fort stockton, pecos county",climatologically similar nearby area,,
belding farms hail suppression,2001,2001,False,"area around 705 south fm road 2037, fort stockton, pecos county",climatologically similar nearby area,,
belding farms hail suppression,2002,2001,False,"area around 705 south fm road 2037, fort stockton, pecos county",climatologically similar nearby area,,
belding farms hail suppression,2003,2001,False,"belding farms property near fort stockton, pecos county",climatologically similar nearby area,,
belding farms hail suppression,2004,2001,False,"705 south fm road 2037, fort stockton, texas",climatologically similar nearby area,,
belding farms hail suppression,2005,2001,False,"fort stockton, texas",climatologically similar nearby area,,
belding farms hail suppression,2006,2001,False,"fort stockton, texas",climatologically similar nearby area,,
